lon,lat
143.47681763362877, 42.17614094824491
143.42773895531863, 42.2056908454372
143.3807251114219, 42.24098312770787
143.34638749855165, 42.268948814618426
143.3414700021705, 42.30862769972064
143.31256191239325, 42.350810542331004
143.2829378011982, 42.3885237996665
143.25627732509085, 42.427418123486326
143.22343172949977, 42.46738126117623
143.194574638399, 42.51641181501011
143.18626022217472, 42.55021403435292
143.18471312632494, 42.59805477082663
143.18336716925523, 42.65032737328279
143.19682388402657, 42.70512943148879
143.20163367120296, 42.74324402209566
143.21960601278477, 42.78233916342834
143.2425072744512, 42.829820057852345
143.2684301057019, 42.8794102151086
143.28653993971548, 42.92955756175252
143.29727332516268, 42.98015633288814
143.31200419086724, 43.030193388321024
143.3231288381604, 43.077271138947616
143.33755411979547, 43.12710798037631
143.36766129045418, 43.169978521126126
143.40991308193568, 43.21657437007273
