lon,lat
143.00796925718183, 42.071169967959726
143.00771140787353, 42.121495651418215
143.0014965051627, 42.18392258914879
142.9681804977797, 42.23849757721441
142.90650841029372, 42.28193692489395
142.8631407677708, 42.32753743715212
142.82084368946457, 42.37551215255251
142.7859446831636, 42.4261773096428
142.75505784473881, 42.46863112764993
142.7188059455481, 42.511312468428955
142.6978124423715, 42.56044984329897
142.68321988507753, 42.60377301555785
142.66326471495412, 42.6534393657848
142.65936311220852, 42.70587823488196
142.65937739183792, 42.74996786316286
142.6652805906381, 42.79511423514026
142.68194287821842, 42.84360464870665
142.69661703339474, 42.8951595284666
142.69994377905905, 42.93875895682318
142.6982183918363, 42.98399223405032
142.69792219152328, 43.03137762322591
142.6961988442476, 43.08818664954311
