lon,lat
142.42040004177812, 42.213894338907544
142.39606102542427, 42.27705272915677
142.37818986521663, 42.3279242862152
142.36017060485247, 42.374217626436575
142.3584452176297, 42.42852284612279
142.33889354903462, 42.472167084998766
142.30962153270198, 42.52495297158621
142.2818064465591, 42.57276232560862
142.25377471803853, 42.62692722952703
142.2232440543703, 42.670360542119774
142.20685267175946, 42.71435541953811
142.20860009041044, 42.76339080144142
142.20199106992774, 42.82028959967459
142.2075315661408, 42.87063851821721
142.2075315661408, 42.916857023362425
142.2075315661408, 42.959765585159
142.21075753842035, 42.99992788071289
142.2139549514411, 43.04521834038734
142.2189777090905, 43.088836779267304
142.23250826994538, 43.13825418216427
142.25209420965106, 43.18624443791314
142.26812492962182, 43.23234299570845
142.28639673543194, 43.272149522896214
142.28457547069738, 43.32234515023443
142.28614745390126, 43.37491860176695
142.27074585360361, 43.42030909300491
142.24740641130882, 43.46187967606068
142.24404253860803, 43.50013563857555
142.2188883594093, 43.53023186199929
142.19745667560434, 43.56900819987242
142.16785500382693, 43.6188625430528
142.14379668418846, 43.66768428288383
142.11564051889727, 43.71286052854083
142.07409087719356, 43.75282849430016
142.04908194222543, 43.795604585941746
142.0171065880498, 43.842607803246516
141.99377734549034, 43.88019764305721
