lon,lat
141.93782404559036, 42.45342029491055
141.9145604893262, 42.50695845506606
141.9030947628847, 42.5605626994219
141.87642286307386, 42.600363795031555
141.85020342352075, 42.655379646187
141.82788803464973, 42.700566604123054
141.81820766987454, 42.7482478634284
141.81820766987454, 42.791746656712796
141.81820766987454, 42.8410946561117
141.8165691843965, 42.891401329046815
141.8165691843965, 42.92878899345012
141.8165691843965, 42.96738880503471
141.84039454208084, 43.0173182850456
141.87137236214446, 43.0597374013037
141.90405313001318, 43.10796619385785
141.91224555740328, 43.150064997884705
141.91538870783225, 43.20384652291492
141.9220373032879, 43.249314715895274
141.9220373032879, 43.30350330752931
141.92220498693618, 43.35214429651106
141.92220498693618, 43.393763311138294
141.92377697014007, 43.42746881821534
